iter	Passed	Remaining
196	487	1988
197	490	1985
198	492	1983
199	495	1980
200	497	1977
201	499	1974
202	502	1972
203	504	1970
204	507	1966
205	509	1963
206	511	1960
207	514	1958
208	516	1955
209	518	1951
210	521	1948
211	523	1946
212	525	1943
213	528	1939
214	530	1936
215	533	1935
216	535	1933
217	538	1930
218	540	1927
219	542	1924
220	545	1923
221	548	1921
222	550	1919
223	553	1916
224	555	1914
225	558	1911
226	560	1909
227	563	1907
228	565	1904
229	568	1901
230	570	1899
231	572	1896
232	575	1894
233	577	1891
234	580	1889
235	582	1886
236	585	1883
237	587	1880
238	589	1877
239	592	1874
240	594	1871
241	596	1869
242	599	1866
243	601	1863
244	604	1861
245	606	1858
246	609	1857
247	611	1854
248	614	1852
249	616	1849
250	618	1846
251	621	1843
252	623	1840
253	625	1837
254	627	1834
255	630	1832
256	633	1830
257	635	1827
258	637	1824
259	640	1822
260	642	1819
261	645	1817
262	647	1815
263	650	1812
264	652	1809
265	655	1807
266	657	1805
267	660	1803
268	662	1800
269	665	1798
270	667	1795
271	669	1793
272	672	1790
273	674	1787
274	677	1784
275	679	1782
276	682	1780
277	684	1777
278	687	1775
279	689	1773
280	691	1770
281	694	1768
282	696	1765
283	699	1763
284	701	1760
285	704	1758
286	706	1755
287	709	1752
288	711	1750
289	714	1748
290	716	1745
291	719	1743
292	721	1740
293	723	1737
294	725	1734
295	728	1732
296	730	1729
297	733	1727
298	735	1724
299	737	1721
300	740	1719
301	743	1717
302	745	1715
303	748	1713
304	750	1711
305	753	1708
306	755	1705
307	758	1703
308	760	1701
309	763	1698
310	765	1696
311	768	1693
312	770	1691
313	773	1689
314	775	1686
315	777	1683
316	780	1681
317	782	1678
318	784	1675
319	787	1673
320	789	1670
321	792	1669
322	794	1666
323	797	1663
324	800	1662
325	802	1659
326	805	1657
327	807	1654
328	809	1651
329	812	1649
330	814	1646
331	816	1643
332	819	1641
333	821	1638
334	824	1635
335	826	1633
336	828	1630
337	831	1627
338	833	1624
339	836	1622
340	838	1620
341	840	1617
342	843	1615
343	845	1612
344	848	1610
345	850	1607
346	852	1604
347	855	1602
348	857	1599
349	859	1596
350	862	1593
351	864	1591
352	866	1588
353	869	1586
354	871	1583
355	873	1580
356	876	1578
357	879	1576
358	882	1575
359	884	1572
360	887	1570
361	889	1567
362	892	1565
363	894	1562
364	897	1560
365	899	1558
366	901	1555
367	904	1552
368	906	1550
369	908	1547
370	911	1545
371	914	1543
372	916	1540
373	919	1538
374	921	1536
375	924	1534
376	927	1532
377	929	1529
378	932	1527
379	935	1525
380	937	1523
381	939	1520
382	942	1518
383	944	1515
384	947	1512
385	949	1509
386	951	1507
387	953	1504
388	956	1502
389	959	1500
390	961	1497
391	963	1494
392	966	1492
393	968	1489
394	971	1487
395	973	1485
396	976	1482
397	978	1480
398	981	1477
399	983	1475
400	986	1473
401	988	1470
402	991	1468
403	993	1465
404	995	1463
405	998	1460
406	1000	1457
407	1003	1455
408	1005	1453
409	1008	1450
410	1010	1448
411	1012	1445
412	1015	1442
413	1017	1440
414	1019	1437
415	1022	1435
416	1024	1432
417	1027	1430
418	1029	1427
419	1031	1425
420	1034	1422
421	1036	1419
422	1039	1417
423	1041	1415
424	1043	1412
425	1046	1409
426	1048	1407
427	1051	1405
428	1053	1402
429	1056	1400
430	1058	1397
431	1060	1394
432	1063	1392
433	1065	1389
434	1067	1386
435	1070	1384
436	1072	1381
437	1074	1379
438	1077	1376
439	1080	1374
440	1083	1372
441	1085	1370
442	1087	1367
443	1090	1365
444	1092	1362
445	1095	1360
446	1097	1358
447	1100	1355
448	1102	1353
449	1104	1350
450	1107	1348
451	1109	1345
452	1111	1342
453	1114	1340
454	1116	1337
455	1118	1334
456	1121	1332
457	1123	1329
458	1126	1327
459	1128	1324
460	1130	1321
461	1132	1319
462	1135	1316
463	1137	1314
464	1139	1311
465	1142	1309
466	1144	1306
467	1147	1304
468	1149	1301
469	1152	1299
470	1154	1296
471	1156	1294
472	1159	1291
473	1161	1289
474	1164	1286
475	1166	1284
476	1168	1281
477	1171	1278
478	1173	1276
479	1176	1274
480	1178	1271
481	1181	1269
482	1183	1267
483	1186	1264
484	1189	1262
485	1191	1260
486	1194	1257
487	1196	1255
488	1199	1253
489	1201	1250
490	1203	1247
491	1206	1245
492	1208	1242
493	1211	1240
494	1213	1238
495	1216	1235
496	1218	1233
497	1220	1230
498	1223	1228
499	1226	1226
500	1228	1223
501	1231	1221
502	1233	1218
503	1236	1216
504	1238	1213
505	1240	1211
506	1243	1208
507	1245	1206
508	1248	1204
509	1250	1201
510	1252	1198
511	1255	1196
512	1257	1193
513	1259	1191
514	1262	1188
515	1265	1186
516	1267	1183
517	1269	1181
518	1271	1178
519	1274	1176
520	1276	1173
521	1279	1171
522	1281	1168
523	1283	1166
524	1285	1163
525	1288	1160
526	1290	1158
527	1292	1155
528	1295	1153
529	1297	1150
530	1300	1148
531	1302	1145
532	1304	1143
533	1307	1140
534	1309	1138
535	1312	1136
536	1315	1134
537	1317	1131
538	1319	1128
539	1322	1126
540	1324	1124
541	1327	1121
542	1329	1119
543	1332	1116
544	1334	1114
545	1337	1112
546	1339	1109
547	1342	1106
548	1344	1104
549	1346	1101
550	1348	1099
551	1351	1096
552	1353	1094
553	1356	1091
554	1358	1089
555	1361	1086
556	1363	1084
557	1365	1081
558	1368	1079
559	1370	1076
560	1373	1074
561	1375	1072
562	1377	1069
563	1380	1066
564	1382	1064
565	1384	1061
566	1387	1059
567	1389	1057
568	1392	1054
569	1394	1052
570	1397	1049
571	1399	1047
572	1402	1045
573	1404	1042
574	1407	1040
575	1409	1037
576	1412	1035
577	1415	1033
578	1417	1030
579	1419	1028
580	1422	1025
581	1424	1023
582	1426	1020
583	1429	1018
584	1431	1015
585	1433	1013
586	1436	1010
587	1438	1008
588	1441	1005
589	1443	1003
590	1445	1000
591	1448	998
592	1451	995
593	1453	993
594	1456	991
595	1458	988
596	1460	986
597	1463	983
598	1465	981
599	1467	978
600	1470	976
601	1473	973
602	1475	971
603	1478	969
604	1480	966
605	1483	964
606	1485	961
607	1487	959
608	1490	956
609	1492	954
610	1495	951
611	1497	949
612	1500	947
613	1502	944
614	1504	941
615	1506	939
616	1509	937
617	1512	934
618	1514	932
619	1516	929
620	1519	927
621	1521	924
622	1524	922
623	1526	919
624	1529	917
625	1531	914
626	1533	912
627	1536	910
628	1539	907
629	1541	905
630	1544	902
631	1546	900
632	1549	898
633	1552	895
634	1554	893
635	1557	891
636	1559	888
637	1562	886
638	1565	884
639	1567	881
640	1569	879
641	1572	876
642	1574	874
643	1577	871
644	1579	869
645	1582	867
646	1584	864
647	1587	862
648	1589	859
649	1591	857
650	1594	854
651	1596	852
652	1598	849
653	1601	847
654	1603	844
655	1606	842
656	1608	839
657	1611	837
658	1613	834
659	1615	832
660	1617	829
661	1620	827
662	1622	824
663	1625	822
664	1627	820
665	1630	817
666	1633	815
667	1635	812
668	1637	810
669	1639	807
670	1642	805
671	1644	802
672	1647	800
673	1650	798
674	1652	795
675	1655	793
676	1657	790
677	1660	788
678	1662	786
679	1665	783
680	1667	781
681	1670	778
682	1672	776
683	1675	774
684	1677	771
685	1680	769
686	1682	766
687	1685	764
688	1687	761
689	1690	759
690	1692	756
691	1694	754
692	1697	751
693	1699	749
694	1704	748
695	1707	745
696	1709	743
697	1712	740
698	1714	738
699	1717	735
700	1719	733
701	1722	731
702	1724	728
703	1727	726
704	1730	723
705	1732	721
706	1735	719
707	1738	716
708	1740	714
709	1743	711
710	1745	709
711	1748	707
712	1751	704
713	1753	702
714	1756	700
715	1758	697
716	1760	694
717	1763	692
718	1765	690
719	1768	687
720	1771	685
721	1773	683
722	1776	680
723	1779	678
724	1781	675
725	1784	673
726	1786	670
727	1789	668
728	1791	665
729	1793	663
730	1796	660
731	1798	658
732	1801	656
733	1803	653
734	1806	651
735	1808	648
736	1811	646
737	1813	643
738	1815	641
739	1818	638
740	1820	636
741	1822	633
742	1825	631
743	1827	628
744	1830	626
745	1832	623
746	1835	621
747	1837	619
748	1840	616
749	1842	614
750	1845	611
751	1847	609
752	1850	606
753	1852	604
754	1855	601
755	1857	599
756	1860	597
757	1862	594
758	1865	592
759	1867	589
760	1869	587
761	1872	584
762	1875	582
763	1878	580
764	1880	577
765	1882	575
766	1885	572
767	1888	570
768	1890	567
769	1892	565
770	1895	562
771	1897	560
772	1900	557
773	1902	555
774	1904	552
775	1907	550
776	1909	548
777	1912	545
778	1914	543
779	1917	540
780	1919	538
781	1921	535
782	1925	533
783	1927	530
784	1929	528
785	1932	526
786	1934	523
787	1936	521
788	1939	518
789	1941	516
790	1943	513
791	1946	511
792	1948	508
793	1951	506
794	1953	503
795	1956	501
796	1958	498
797	1961	496
798	1964	494
799	1966	491
800	1969	489
801	1971	486
802	1974	484
803	1976	481
804	1979	479
805	1982	477
806	1984	474
807	1987	472
808	1989	469
809	1992	467
810	1994	464
811	1997	462
812	2000	460
813	2002	457
814	2004	455
815	2007	452
816	2009	450
817	2012	447
818	2014	445
819	2016	442
820	2019	440
821	2021	437
822	2024	435
823	2026	432
824	2029	430
825	2031	427
826	2033	425
827	2036	422
828	2038	420
829	2041	418
830	2043	415
831	2045	413
832	2048	410
833	2051	408
834	2053	405
835	2055	403
836	2058	400
837	2060	398
838	2062	395
839	2065	393
840	2067	390
841	2069	388
842	2072	385
843	2074	383
844	2077	381
845	2079	378
846	2082	376
847	2084	373
848	2086	371
849	2089	368
850	2091	366
851	2094	363
852	2096	361
853	2098	358
854	2101	356
855	2104	353
856	2106	351
857	2109	349
858	2111	346
859	2114	344
860	2117	341
861	2119	339
862	2122	336
863	2125	334
864	2127	332
865	2130	329
866	2133	327
867	2135	324
868	2138	322
869	2141	319
870	2143	317
871	2145	314
872	2148	312
873	2151	310
874	2153	307
875	2156	305
876	2159	302
877	2161	300
878	2164	297
879	2166	295
880	2169	293
881	2171	290
882	2174	288
883	2176	285
884	2179	283
885	2181	280
886	2184	278
887	2186	275
888	2188	273
889	2191	270
890	2193	268
891	2196	265
892	2198	263
893	2201	260
894	2203	258
895	2206	256
896	2208	253
897	2211	251
898	2213	248
899	2216	246
900	2218	243
901	2221	241
902	2224	238
903	2226	236
904	2229	234
905	2231	231
906	2234	229
907	2236	226
908	2239	224
909	2241	221
910	2244	219
911	2246	216
912	2249	214
913	2251	211
914	2254	209
915	2256	206
916	2259	204
917	2261	202
918	2263	199
919	2266	197
920	2268	194
921	2271	192
922	2273	189
923	2275	187
924	2278	184
925	2281	182
926	2283	179
927	2285	177
928	2288	174
929	2290	172
930	2293	169
931	2295	167
932	2297	165
933	2300	162
934	2302	160
935	2304	157
936	2307	155
937	2309	152
938	2312	150
939	2314	147
940	2317	145
941	2319	142
942	2321	140
943	2324	137
944	2326	135
945	2329	132
946	2331	130
947	2334	128
948	2336	125
949	2338	123
950	2341	120
951	2344	118
952	2346	115
953	2348	113
954	2351	110
955	2353	108
956	2356	105
957	2358	103
958	2360	100
959	2363	98
960	2365	96
961	2367	93
962	2370	91
963	2373	88
964	2375	86
965	2378	83
966	2381	81
967	2383	78
968	2385	76
969	2387	73
970	2390	71
971	2392	68
972	2395	66
973	2397	64
974	2399	61
975	2402	59
976	2404	56
977	2407	54
978	2409	51
979	2411	49
980	2414	46
981	2416	44
982	2419	41
983	2421	39
984	2424	36
985	2427	34
986	2429	32
987	2431	29
988	2434	27
989	2436	24
990	2438	22
991	2441	19
992	2443	17
993	2445	14
994	2448	12
995	2450	9
996	2453	7
997	2455	4
998	2458	2
999	2460	0
